feature,frac_compound,frac_source,frac_plate_within_source,frac_residual,ss_total,compartment,feature_type,channel
Nuclei_Texture_AngularSecondMoment_RNA_3_02_256,0.013641702635634499,0.8108821139417559,0.03714140643541845,0.13833477698719124,308351.21665130724,Nuclei,Texture,RNA
Image_Texture_DifferenceVariance_AGP_10_01_256,0.024483453257398088,0.7402710321365391,0.15827767676138768,0.07696783784467524,240995.76858949638,Image,Texture,AGP
Cells_Texture_InverseDifferenceMoment_ER_3_02_256,0.021158597605134312,0.8355160570740261,0.05256093510643481,0.09076441021440479,7079.594437455303,Cells,Texture,ER
Image_Texture_Entropy_RNA_10_03_256,0.12770761622798285,0.7463881356816597,0.012881342370894723,0.11302290571946277,6188.416636799714,Image,Texture,RNA
Cells_Texture_InfoMeas2_AGP_10_00_256,0.010506431522461149,0.9447803657164965,0.015339057741152951,0.029374145019889327,20319.591620409396,Cells,Texture,AGP
Nuclei_Texture_Entropy_RNA_5_02_256,0.0034655957442839822,0.9172133165398964,0.03444679002387889,0.04487429769194068,13350.768895259962,Nuclei,Texture,RNA
Image_Texture_Contrast_RNA_5_02_256,0.007946187980434883,0.9034357640720438,0.022917534373367434,0.06570051357415398,146407.81705742778,Image,Texture,RNA
Cytoplasm_RadialDistribution_FracAtD_AGP_2of4,0.08937979868884886,0.313916198236219,0.012215741880649753,0.5844882611942824,37904.886850085124,Cytoplasm,RadialDistribution,AGP
Cytoplasm_Texture_Variance_ER_3_01_256,0.07823570317649091,0.5373505013011378,0.06523767498106531,0.31917612054130595,15995.71804594096,Cytoplasm,Texture,ER
Image_Texture_SumEntropy_Mito_10_01_256,0.0839817169876897,0.8073183204244138,0.02252382390797866,0.08617613867991784,5669.1552470010765,Image,Texture,Mito
Cytoplasm_Intensity_MinIntensity_AGP,0.0009859354232662893,0.982994852986859,0.008611030254020923,0.007408181335853859,69173.77026246328,Cytoplasm,Intensity,AGP
Nuclei_Correlation_Overlap_AGP_DNA,0.053811036029212465,0.7669622747278619,0.07972828070427299,0.09949840853865266,12326.427016404836,Nuclei,Correlation,AGP
Cytoplasm_Texture_SumEntropy_AGP_3_01_256,0.008691062908472203,0.9065323858882045,0.04928613960218123,0.03549041160114221,21401.43532291599,Cytoplasm,Texture,AGP
Nuclei_Intensity_StdIntensity_Mito,0.18278619489535616,0.4000312261815241,0.03226775510639797,0.3849148238167219,13328.007417193203,Nuclei,Intensity,Mito
Nuclei_Intensity_MeanIntensity_Mito,0.028654860927919933,0.8696726944753866,0.01285403307672455,0.08881841151996886,22978.553507734243,Nuclei,Intensity,Mito
Cytoplasm_Texture_InfoMeas1_ER_5_01_256,0.03403776124304243,0.7100695571251249,0.07354550852421263,0.1823471731076202,9959.254218721604,Cytoplasm,Texture,ER
Image_ImageQuality_Correlation_OrigRNA_10,0.08763224046363212,0.66874274151633,0.01696344664485632,0.2266615713751816,16010.815314958447,Image,ImageQuality,
Image_Intensity_MedianIntensity_RNA,0.013347766991226332,0.9203104380711916,0.010716047906969695,0.05562574703061242,50339.800654633684,Image,Intensity,RNA
Image_Intensity_PercentMaximal_AGP__BackgroundOnly,0.024257477585824694,0.5245909782846598,0.00793571592213869,0.44321582820737687,39706.68446330227,Image,Intensity,AGP
Cytoplasm_Texture_SumAverage_DNA_3_00_256,0.0009544324551333832,0.9785699119726431,0.010368551276227742,0.010107104295995855,78052.3575911726,Cytoplasm,Texture,DNA
Image_Texture_InverseDifferenceMoment_ER_3_03_256,0.07968350516273487,0.8219279539758495,0.011670700940837345,0.08671783992057837,12928.074570213317,Image,Texture,ER
Cells_Texture_AngularSecondMoment_DNA_10_01_256,0.0035122871926370146,0.8991092663374268,0.056203900986498585,0.04117454548343743,15483.546235376252,Cells,Texture,DNA
Nuclei_Texture_Correlation_DNA_5_03_256,0.005281961770837927,0.8200110843737356,0.10642993791873241,0.06827701593669402,67683.44828704407,Nuclei,Texture,DNA
Nuclei_Texture_DifferenceVariance_ER_5_00_256,0.024337158073449227,0.6205729105605688,0.09437453645191077,0.2607153949140712,127617.22139007809,Nuclei,Texture,ER
Cells_Texture_Contrast_AGP_3_02_256,0.04845855449097979,0.7162262388470422,0.007312051762260467,0.22800315489971745,84265.77009654768,Cells,Texture,AGP
Cytoplasm_Texture_SumEntropy_DNA_5_00_256,0.005760393048805508,0.9572962030382254,0.017563354383567042,0.01938004952940194,3521.441441804016,Cytoplasm,Texture,DNA
Image_ImageQuality_FocusScore_OrigDNA,0.002324105491875526,0.9563859605303181,0.01901825164662897,0.022271682331177448,26008.118670634627,Image,ImageQuality,
Cells_Texture_Contrast_DNA_3_01_256,0.03589376590256471,0.750741951121768,0.07824183081073667,0.13512245216493063,317716.63360855787,Cells,Texture,DNA
Cells_AreaShape_Zernike_9_7,0.1613367378893684,0.2949025269710566,0.033740144942845995,0.5100205901967289,41505.740617962394,Cells,AreaShape,
Cells_Texture_InfoMeas2_DNA_5_01_256,0.0013614175575345313,0.9851660573116755,0.0018760143936275195,0.011596510737162497,20329.658912902574,Cells,Texture,DNA
Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_10of20,0.024311533000597324,0.3234174796937261,0.029136459775866548,0.6231345275298099,1071924.9323757114,Cytoplasm,RadialDistribution,
