target_gene,n_pseudobulk_samples,ss_target,ss_guide_within_target,ss_batch_within_target,perturbation_quality
ZNF674,9,32557.674329315785,1.1793956054643301e-26,291127.51330514334,0.10058438128495237
EXOC3,28,93635.60011372404,4.031927681391475e-26,837637.0150386374,0.10054585369548821
DHX16,39,140880.55608483506,5.093589314586658e-26,1262173.8161043816,0.10040990490269884
WDR54,23,110509.35801894323,3.722048462966643e-26,991767.0524936081,0.10025557742595353
RBMX2,24,90487.42661457378,1.9616839859943738e-26,819305.6897864952,0.09945934408969931
CEP97,9,37854.43586097957,1.1213099900709071e-26,343727.8848399417,0.09920385145581556
TRAPPC3,12,25979.292858569614,1.6751843932425757e-26,236561.34414632517,0.09895341595474706
TREX2,32,146265.07137297807,0.0,1337366.747178355,0.09858582806332375
ZNF253,4,13166.626266485328,0.0,120892.49111040002,0.09821507499165093
ADRM1,4,11185.495632281487,0.0,102743.97127614146,0.09817912727769053
ATP6V1D,9,24420.639943788352,8.11376907797458e-27,224497.19366703415,0.09810723317626763
ANAPC15,47,133244.67149771773,5.0242064708067035e-26,1226048.2932820611,0.09802498427504545
HS6ST1,11,25044.547359234584,1.0325875730927944e-26,230796.75679339195,0.09789094627306084
SS18L2,9,44421.45032668872,1.1643625848797596e-26,409442.13258194836,0.09787401324866987
SOD1,13,45421.14545324082,2.0754914435775916e-26,419474.2579237099,0.09770185965123863
METAP2,13,48907.881409780035,9.35729361778434e-27,451776.9266909182,0.09768197600264242
HAUS7,13,46743.56181363316,1.418242259724276e-26,432338.0692063642,0.09756909634400496
ARL4D,7,16348.816096759394,6.970250245971058e-27,151288.33034722073,0.09752502022111628
WNK1,6,18099.207700734005,6.691140619119056e-27,167602.70848265546,0.09746376382492562
USP7,34,123203.16130479387,5.00139918512552e-26,1145069.8546212255,0.09714246046214117
CPAMD8,23,99346.5244033184,3.5996567096407995e-26,928238.0392385122,0.0966796582183246
NPB,21,45864.92757310154,1.6389523029792571e-26,431660.9911150349,0.09604699091329343
LPA,7,24806.445143264653,8.81744724049964e-27,233548.76897687523,0.09601681633461906
SNAPC3,24,85439.66449655821,2.3795439196510885e-26,806230.8042634949,0.09581977590372555
GABPA,6,27104.510307616085,6.2602180632071246e-27,256068.35227953785,0.09571718864576564
SPC24,5,27537.31018574932,2.7341266469895117e-27,261127.32750806358,0.09539550949416324
PELO,18,44825.935343043704,20543.166831140563,405178.06391836604,0.0952634264388005
ALYREF,35,157141.40968833544,5.616778517073323e-26,1492689.2605183262,0.09524699263146293
NOMO3,16,53978.6075712532,0.0,513167.59914286213,0.09517582403308307
NPEPPS,12,34177.75403417432,1.2470134853636346e-26,327435.7642856819,0.0945145916916282
ALG13,10,34883.018476377474,1.7728687968300333e-26,334782.1281801308,0.09436382843198
GTF2H2,12,21930.749641000242,1.1483502439313592e-26,212157.7564654026,0.0936857174483903
NCOA4,8,21119.556206841175,0.0,205993.74134979877,0.09299127983280747
GTF3C1,12,28983.859465418936,1.3720609910288926e-26,282738.86505377817,0.09297961677360482
PSMG1,4,10136.916497562253,0.0,99076.91485442912,0.09281714936720256
MCMBP,8,19295.97058728575,0.0,191263.31188571622,0.09164150998548301
PPP6C,5,12339.426136255564,6.736715831742806e-27,122512.41177499466,0.09150358146676864
CADM4,40,145681.76440996575,5.003093942625692e-26,1449355.2056028876,0.09133441239847362
SLC39A10,11,29732.439865515094,8.052031220127216e-27,297332.4598094502,0.0909068502766973
ARPC3,9,26886.338988846455,6.719901344149013e-27,269655.5179805225,0.09066625286434238
SF3B3,45,107694.91916854156,3.7119233788045585e-26,1083313.6649984783,0.09042329383701492
NUBP1,10,26793.28694033854,1.0018109642459517e-26,269558.0212563587,0.09041055733270133
SRP9,15,49872.77348700413,2.6000453037899264e-26,501811.53531177103,0.09040092801550939
MKRN1,11,26800.3987883898,1.0024913038574022e-26,270760.0036496651,0.09006708745115713
CUL3,5,15446.484265701532,6.492570141591008e-27,156163.27003340278,0.09000936064962453
UBQLN4,9,27869.498211904567,6.238956133658829e-27,285977.68816937227,0.08879957960829812
PFN1,32,129458.98015878862,0.0,1329773.29490933,0.088717185310848
VPS54,38,126699.4815847626,5.446104594822192e-26,1303308.2654731744,0.08860055607770728
ACOT12,17,47637.317784173894,2.0085517691527648e-26,490277.3737812567,0.0885592428151396
AHCTF1,38,115924.9485162046,4.677747651681033e-26,1208540.9534224707,0.08752580821183881
PSMD1,36,148370.6878771451,4.9184309841488957e-26,1548753.4247334416,0.08742477157366832
AAAS,23,79429.94080759988,5.289741433622741e-26,831487.7888628619,0.08719771085840523
BCAR1,20,63767.028927089326,8837.291592792864,658910.9441111219,0.0871711528251637
EMC7,17,37409.554195163706,2.507916839642275e-26,393001.1493737051,0.08691594768664462
CA5A,17,47406.71919710339,1.4435628718695701e-26,498181.3171768846,0.08689105338924107
SPC25,19,96948.40206499377,1.8703318480306858e-26,1024773.8674329036,0.08642816916560779
RPE,5,18439.306132626036,5.5655829466874025e-27,195220.28517807508,0.08630226248917526
TIMM8A,14,25312.328154983406,1.6584467778432775e-26,268349.01106018823,0.0861956436711492
DYNC1H1,37,138406.4459752966,3.062221236825583e-26,1468710.3446245654,0.08612096319623162
ARHGAP11B,23,126817.52531608389,1.829895125990841e-26,1346537.993874613,0.08607394730210385
CDC37,16,53033.560389176135,0.0,566028.2995718447,0.08566762680633465
RNF113A,16,70302.5104266351,0.0,755375.311521711,0.08514520864898947
