compartment,feature_type,channel,frac_compound,frac_source,frac_plate_within_source,frac_residual
Nuclei,RadialDistribution,AGP,0.05963001705449414,0.7425784424557099,0.01738832621146275,0.15383332555555068
Nuclei,RadialDistribution,DNA,0.09989327077496696,0.48907477669531674,0.11175686236684841,0.29737897756020715
Nuclei,RadialDistribution,ER,0.06224060030749788,0.6334315312305201,0.07419783763883644,0.23988706353586178
Nuclei,RadialDistribution,Mito,0.14530654627525028,0.3352113915581024,0.06523000720387867,0.3872496032125118
Nuclei,RadialDistribution,RNA,0.06941200516204099,0.4906524643653132,0.10210196501232241,0.3157404586279795
Nuclei,Texture,AGP,0.01038664347626624,0.9163240395554184,0.029355458235450715,0.03159679790987642
Nuclei,Texture,DNA,0.005823393899434657,0.9484733626678015,0.022144433160566926,0.020847624508763728
Nuclei,Texture,ER,0.01832491525996048,0.8319321682152983,0.039031504989476065,0.12070983414072606
Nuclei,Texture,Mito,0.05515053955210321,0.7342764413032405,0.05369339617825074,0.14471391326881483
Nuclei,Texture,RNA,0.013516790799692386,0.8674897785818239,0.033871605088344824,0.0826347451876249
